teamA,teamB,teamAAttack,teamAMidfield,teamADefense,teamAFormScore,teamAStrength,teamBAttack,teamBMidfield,teamBDefense,teamBFormScore,teamBStrength,stage,teamAScore,teamBScore,result
"Qatar","Ecuador","72","73","70","7","71","78","79","80","8","78","Group Stage - 1","0","2","teamBWin"
"England","Iran","86","86","84","13","89","75","76","77","8","75","Group Stage - 1","6","2","teamAWin"
"Senegal","Netherlands","81","79","81","10","81","82","83","86","10","84","Group Stage - 1","0","2","teamBWin"
"Argentina","Saudi Arabia","88","86","82","13","89","74","75","73","8","74","Group Stage - 1","1","2","teamBWin"
"France","Australia","90","84","83","10","87","76","75","76","10","77","Group Stage - 1","4","1","teamAWin"
"Morocco","Croatia","78","79","84","10","81","77","84","79","8","79","Group Stage - 1","0","0","draw"
"Germany","Japan","84","85","80","8","82","80","82","78","10","81","Group Stage - 1","1","2","teamBWin"
"Belgium","Canada","82","84","78","10","82","77","73","71","10","76","Group Stage - 1","1","0","teamAWin"
"Uruguay","South Korea","83","82","82","10","83","79","78","76","10","79","Group Stage - 1","0","0","draw"
"Portugal","Ghana","87","84","80","10","85","76","75","73","7","74","Group Stage - 1","3","2","teamAWin"
"Qatar","Senegal","72","73","70","7","71","81","79","81","10","81","Group Stage - 2","1","3","teamBWin"
"Netherlands","Ecuador","82","83","86","10","84","78","79","80","8","78","Group Stage - 2","1","1","draw"
"England","USA","86","86","84","13","89","76","74","72","10","76","Group Stage - 2","0","0","draw"
"Tunisia","Australia","72","74","78","8","74","76","75","76","10","77","Group Stage - 2","0","1","teamBWin"
"Argentina","Mexico","88","86","82","13","89","78","77","74","10","78","Group Stage - 2","2","0","teamAWin"
"Belgium","Morocco","82","84","78","10","82","78","79","84","10","81","Group Stage - 2","0","2","teamBWin"
"Croatia","Canada","77","84","79","8","79","77","73","71","10","76","Group Stage - 2","4","1","teamAWin"
"Spain","Germany","86","90","84","13","90","84","85","80","8","82","Group Stage - 2","1","1","draw"
"South Korea","Ghana","79","78","76","10","79","76","75","73","7","74","Group Stage - 2","2","3","teamBWin"
"Brazil","Switzerland","89","85","81","10","86","77","80","82","8","79","Group Stage - 2","1","0","teamAWin"
"Portugal","Uruguay","87","84","80","10","85","83","82","82","10","83","Group Stage - 2","2","0","teamAWin"
"Netherlands","Qatar","82","83","86","10","84","72","73","70","7","71","Group Stage - 3","2","0","teamAWin"
"Ecuador","Senegal","78","79","80","8","78","81","79","81","10","81","Group Stage - 3","1","2","teamBWin"
"Iran","USA","75","76","77","8","75","76","74","72","10","76","Group Stage - 3","0","1","teamBWin"
"Tunisia","France","72","74","78","8","74","90","84","83","10","87","Group Stage - 3","1","0","teamAWin"
"Saudi Arabia","Mexico","74","75","73","8","74","78","77","74","10","78","Group Stage - 3","1","2","teamBWin"
"Croatia","Belgium","77","84","79","8","79","82","84","78","10","82","Group Stage - 3","0","0","draw"
"Canada","Morocco","77","73","71","10","76","78","79","84","10","81","Group Stage - 3","1","2","teamBWin"
"Japan","Spain","80","82","78","10","81","86","90","84","13","90","Group Stage - 3","2","1","teamAWin"
"South Korea","Portugal","79","78","76","10","79","87","84","80","10","85","Group Stage - 3","2","1","teamAWin"
"Ghana","Uruguay","76","75","73","7","74","83","82","82","10","83","Group Stage - 3","0","2","teamBWin"
"Netherlands","USA","82","83","86","10","84","76","74","72","10","76","Round of 16","3","1","teamAWin"
"Argentina","Australia","88","86","82","13","89","76","75","76","10","77","Round of 16","2","1","teamAWin"
"England","Senegal","86","86","84","13","89","81","79","81","10","81","Round of 16","3","0","teamAWin"
"Japan","Croatia","80","82","78","10","81","77","84","79","8","79","Round of 16","1","1","draw"
"Brazil","South Korea","89","85","81","10","86","79","78","76","10","79","Round of 16","4","1","teamAWin"
"Morocco","Spain","78","79","84","10","81","86","90","84","13","90","Round of 16","0","0","draw"
"Portugal","Switzerland","87","84","80","10","85","77","80","82","8","79","Round of 16","6","1","teamAWin"
"Croatia","Brazil","77","84","79","8","79","89","85","81","10","86","Quarter-finals","1","1","draw"
"Netherlands","Argentina","82","83","86","10","84","88","86","82","13","89","Quarter-finals","2","2","draw"
"Morocco","Portugal","78","79","84","10","81","87","84","80","10","85","Quarter-finals","1","0","teamAWin"
"England","France","86","86","84","13","89","90","84","83","10","87","Quarter-finals","1","2","teamBWin"
"Argentina","Croatia","88","86","82","13","89","77","84","79","8","79","Semi-finals","3","0","teamAWin"
"France","Morocco","90","84","83","10","87","78","79","84","10","81","Semi-finals","2","0","teamAWin"
"Croatia","Morocco","77","84","79","8","79","78","79","84","10","81","3rd Place Final","2","1","teamAWin"
"Argentina","France","88","86","82","13","89","90","84","83","10","87","Final","3","3","draw"